message,sentiment,confidence
Надо забросить,NEGATIVE,75.16
Забронить,NEGATIVE,75.1
Да,NEUTRAL,81.3
Она ее сожрет,NEUTRAL,82.57
И уберет,NEUTRAL,78.77
Так давайте забронируем,NEUTRAL,82.63
Ну есть такая вероятность,NEUTRAL,82.98
"Жень, они вообще тебя достали в край?",NEGATIVE,75.15
"Нет, он долго жевать будет",NEGATIVE,75.01
И тщательно,NEGATIVE,75.11
Мы сегодня 4 часа обсуждали теорию вероятностей,NEUTRAL,82.98
В том плане что гадали по кейсам о том чего не знаем,NEUTRAL,83.06
"Она не будет ее жевать долго
наташа сама сказала, что ГН ее брать не хотела
Так что сожрет она ее быстро",NEUTRAL,69.92
"Опять обсуждения, всем надо подарить «смерть от совещаний»",NEUTRAL,82.97
Таро!,NEUTRAL,82.44
Галя и Миши - это уже порнографический роман,NEUTRAL,83.0
В проект еще астролог нужен,NEUTRAL,82.95
точно,NEUTRAL,83.06
Таню позовет,NEGATIVE,75.17
И будет Таня гадать каждый день на картах!,NEUTRAL,82.92
Колдовать над кейсами,NEUTRAL,82.98
Заговоры все дела,NEUTRAL,65.57
Предлагаю должность назвать старшая ведьма Проекта,NEUTRAL,82.67
Хотя она уже занята,NEUTRAL,82.55
))))),NEUTRAL,78.94
"Я думаю, она рада будет! Найдет себе еще мужчин",POSITIVE,97.51
Теперь мы уже понимаем ее вкусы,NEUTRAL,82.81
Они должны быть страшные зожники,NEGATIVE,75.17
Фу гадость какая,NEGATIVE,75.17
Зожники и зваться Михаилами,NEUTRAL,81.25
Почему? Она у меня иногда стреляла сигареты,NEUTRAL,83.01
Это же она себе,NEUTRAL,83.04
Роковая женщина с сигареткой в окружении зожников,NEUTRAL,81.8
🤷🏼‍♀️,POSITIVE,59.17
Но кто же ей стрелять- то будет?,NEUTRAL,81.06
"Так она выбирает таких, которые ей купят",NEGATIVE,75.12
Сами не будут курить,NEUTRAL,82.95
Но всегда будут носить с собой пачку сигарет для нее,NEUTRAL,82.9
Чтобы угодить,POSITIVE,90.82
Представляю справления др с такими «зожниками»,NEUTRAL,82.98
Тем более есть с кого пример брать)),NEUTRAL,82.71
Какие вы желчные😁,NEGATIVE,74.92
Сам такой,NEGATIVE,75.17
"Вообще не желчные
По факту говорим!!!!!!",NEGATIVE,75.15
Палочки не захотели дарить! Зажилили правильный (и недорогой) подарок!,NEGATIVE,75.15
Поклеп.,NEUTRAL,80.15
Там уже даже Лера от зама вождя взвыла. У Лодыгина корона потолок царапает а на Леру штукатурка сыпиться,NEUTRAL,73.71
"Лера мне уже пишет
Что она хочет Лодыгину пи*ды дать",POSITIVE,99.07
Чтобы он опустился,NEGATIVE,75.16
А Лера вообще я не поняла она там каким боком,NEUTRAL,82.96
С небес на землю,NEUTRAL,82.1
"Он ее жутко бесит 
Вообще говорит ку-ку",NEGATIVE,75.17
Он все ей какие-то распоряжения дает,NEUTRAL,83.01
Какой же замечательный коллектив,POSITIVE,98.08
"Да, а она его посылает, говорит, что Лодыгин ваще не адекватный",NEGATIVE,75.15
Лера в команде проекта?,NEUTRAL,82.94
В соседнем проекте),NEUTRAL,82.6
Загадочно все у вас,NEUTRAL,82.86
🤬 всё у нас,POSITIVE,68.9
Что за странный перевод от тебя?,NEUTRAL,76.54
Взятка?,NEUTRAL,82.8
Чтобы ты не уходил,NEUTRAL,76.92
За яндекс-диск👌🏻,POSITIVE,64.13
Мало,NEUTRAL,70.3
Банально,NEGATIVE,75.13
🤣,POSITIVE,59.17
Так,NEUTRAL,82.89
А мне?,NEUTRAL,82.49
Еще варианты?,NEUTRAL,82.95
"Ну уж простите 
Сколько было на карте, столько скинула😅",POSITIVE,55.57
А мне?,NEUTRAL,82.49
А мне?,NEUTRAL,82.49
Еще и тыщу ГН надо,NEUTRAL,82.34
Одни расходы и нервы!,NEGATIVE,75.15
0-4,POSITIVE,53.37
,NEUTRAL,71.28
,NEUTRAL,71.28
А что тут такая тишина?,NEGATIVE,75.16
Г-н вышла на новый уровень общения со мной. Я теперь именуюсь «Жек»,NEUTRAL,76.45
Это фамильярность или аллюзия на сферу ЖКХ?,NEUTRAL,82.22
Всем привет,NEUTRAL,82.74
,NEUTRAL,71.28
Я любуюсь фотографией магнитов в группе,NEUTRAL,82.92
А я на свадьбе)),NEUTRAL,73.33
Тут такой адский стыд был,NEGATIVE,75.16
Да сколько можно по свадьбам ходить!,POSITIVE,53.08
Так так так,NEUTRAL,83.03
😂😂😂,POSITIVE,80.71
👍👍👍👍👍,POSITIVE,59.17
Нам в нерабочее время запретили пить пиво))))))),NEUTRAL,78.8
Поэтому мы с Наташей послали тандем к хуям и пошли в бар)))),POSITIVE,99.07
Запретить пиво?!?! Нормально?!?!,NEUTRAL,70.5
А есть то можно? Или скоро есть запретит?,NEUTRAL,81.67
Я что-то совсем не хочу возвращаться(,NEGATIVE,99.49
Мне пиар почти каждый день пишет,NEUTRAL,66.0
Лодыгиг вообще в среду целый день звонил,NEGATIVE,75.17
Он всем пишет. На общем круглом столе г-н уже высказали что канал заспамили так что невозможно читать,NEGATIVE,75.15
"Наконец-то 
Потому что по столько новостей день это пздц
Зачем?! Изначально говорили про 3 новости в неделю.",NEGATIVE,75.16
"Ответ был, что новостей так много что сдерживаются чтобы не чаще раза в день выкладывать, но не получается)))))))",POSITIVE,99.07
😂😂😂😂😂,POSITIVE,69.66
Я не могу,NEUTRAL,81.91
Она на сегодня назначила совещание на 7:30 это 3:30 по московскому времени,NEUTRAL,72.27
И не пришла!!!!,NEGATIVE,75.15
"Ты рассказываешь какую-то дичь))))) 
А зачем так рано совещание назначать?😅😅😅",POSITIVE,99.07
Столько всего надо обсудить что ли!?),POSITIVE,98.13
Меня не спрашивай,NEUTRAL,77.73
Она заебала в край. Она готова совещаться 24/7,NEGATIVE,75.15
"В Новосибирске такой пиздец, но говорить об этом нельзя это же наш пилот",NEGATIVE,75.15
Пилотный пилот,NEUTRAL,80.52
"А говорят, что самый лучший регион",NEUTRAL,74.77
Какой-то треш.,NEUTRAL,63.42
"Вот вот, говорят, что на этот регион надо ровняться",NEGATIVE,75.16
Мы сегодня прилетаем в Домодедово в 9 и завтра она хочет чтобы мы на работу вышли,POSITIVE,51.22
Это арт условии что встали мы в 2:30,NEUTRAL,82.9
"Хочу пожаловаться на Краснодарский край. Здесь дети песни поют, танцуют, играют и просят милостыню прямо перед администрацией",NEGATIVE,75.16
"Пздц, неужели нельзя завтра из дома поработать. Ну что сказать, дисциплина!",NEGATIVE,75.15
Херь какая-то,NEGATIVE,75.17
Ну просто когда заняться нечем…,NEUTRAL,82.81
Ты не понимаешь! Это команда прорыва службы дети в семье,POSITIVE,95.56
Она сама не спит и другим не дает,NEUTRAL,83.01
"Мы же ПРО проект, ПРО деток, ПРО мамок, ПРО планирование планирования о планировании",NEUTRAL,82.17
"ПРОсти, Господи 🙈",NEGATIVE,75.1
😬😬😬,POSITIVE,59.17
Она просто в ресурсе и в потоке. А еще у не крутой поставщик кокаина,NEGATIVE,75.16
Хоть бы поделилась!,NEUTRAL,55.08
"Она вообще не понимает, что такими темпами, она скоро опять будет людей искать",NEGATIVE,75.15
Я в понедельник ее обрадую,NEGATIVE,75.16
"Ну что вот, завтра нельзя удаленно что ли поработать? Все взрослые люди. Ездили в командировку, все устали.",NEGATIVE,75.17
А то мне через неделю на новую работу,NEUTRAL,82.62
Наталья молодец,POSITIVE,97.93
Ее очень бомбит,NEGATIVE,75.16
????!!!!,NEUTRAL,65.54
?!),NEUTRAL,77.48
Красотка,NEUTRAL,82.48
Да так получилось,NEUTRAL,82.76
"То есть, я остаюсь без тебя, Жень
С кем я там буду говорить. Придут другие, как юрист и будет крутая команда",POSITIVE,97.41
Пздц,NEGATIVE,75.16
Ну вы даете,NEUTRAL,75.41
"Оль, я просто не выдержу этот пиздец. Это зашкаливает даже мой позитив и оптимизм",NEGATIVE,75.15
Я на 2 собеседования уже договорилась.,NEUTRAL,82.13
я прекрасно тебя понимаю.,POSITIVE,97.01
Меня тошнит от нее от юриста,NEGATIVE,75.16
"Я пока не сказала ей, что не хочу тут работать…",NEGATIVE,75.15
"Аналогично
Терпеть прям его не могу",NEGATIVE,75.15
Зато они друг друга нашли,NEGATIVE,75.13
Пока чего-то не найду буду тут. Что делать,NEGATIVE,75.16
Аж магнитики,NEUTRAL,82.76
Тандем!,NEUTRAL,76.88
Пипец,NEGATIVE,75.16
Дадада,NEUTRAL,82.81
Наташу она сожрет 100%,NEUTRAL,82.2
Нечего Наталье терпеть даже,NEGATIVE,75.14
"Такой уровень не профессионализма. Были в кризисном центре, просто в наглую вваливалась в комнаты к мамам. Трогала детей. В доме ребенка в уличной одежде начала грудничков брать.",NEGATIVE,75.15
Жесть,NEGATIVE,75.16
Так и в Туле было,NEUTRAL,82.75
"Эм, а разве можно грудничков брать в уличной одежде?!!! Только же в халатах и т д",NEGATIVE,75.15
Она на глазах мам бросалась на детей обниматься,NEGATIVE,75.16
Кошмар,NEGATIVE,75.16
Пипец какой-то,NEGATIVE,75.16
"Вот она просит чтобы вся команда в командировки ездила, позориться чтобы?",NEUTRAL,78.91
Я вот не понимаю,NEUTRAL,82.94
"А я не бросалась, поэтому я сволочь, детей не люблю и т д",NEGATIVE,75.15
"Было просто стыдно рядом стоять. Начинаешь разговаривать по проекту, влезает, затыкает и снова про хуйню, Как мы все вместе все изменим",NEGATIVE,75.15
"Ой, расстроили вы меня, ребята",NEUTRAL,63.91
Как обычно),NEUTRAL,82.47
Ага,NEUTRAL,81.8
"По факту она может одна проект вести, зачем ей люди? Она все равно ни к кому не прислушивается",NEGATIVE,75.15
Не знаю короче,NEUTRAL,82.45
"Ну мы поняли, что без тебя, Оля, тоже никуда. Думаю, ты и она вдвоем справитесь с этим проектом 🤣",POSITIVE,96.44
Ах ну и как же я забыла юриста,NEUTRAL,83.0
Идите в жопу😂😂,NEGATIVE,75.15
Отстань пожалуйста,NEGATIVE,75.16
С РВ я бы осталась),NEUTRAL,81.33
"Спасибо за перспективу, но нет",POSITIVE,93.2
Вы мне скажите,NEUTRAL,70.52
"Что вам привезти: чай, маски из местной грязи, чурчхелу?",NEUTRAL,81.74
Мыло?,NEGATIVE,75.15
Маски и чай!!!,NEUTRAL,66.3
Мыло,NEGATIVE,75.16
Камушки,NEUTRAL,82.94
Магниты,NEUTRAL,64.23
Камушки,NEUTRAL,82.94
Магниты,NEUTRAL,64.23
😂,POSITIVE,59.17
Все вези,NEUTRAL,82.72
Здесь нужно одно что-то выбрать,NEUTRAL,82.99
Давай маску)),NEUTRAL,79.38
С ГН?,NEUTRAL,76.15
Себя привези!!!,NEUTRAL,81.95
"Да
И чтобы магнит не маленький был
Чтобы она в полный рост была",NEUTRAL,81.53
Дада!,NEUTRAL,79.53
"Ой, Анастасия, ты меня конечно этим обидела прям….",NEUTRAL,68.72
"Да разве можно обижаться? Наоборот, ты больше ГН в курсе всего и без тебя все развалится",NEUTRAL,82.83
Все связи держишь ты,NEUTRAL,82.76
"Не надо, умоляю",NEUTRAL,74.76
"Я записалась на 2 собеседования
Но мне кажется, будет пока провал",NEUTRAL,80.37
Буду еще искать,NEUTRAL,82.75
Отликаться,NEUTRAL,72.11
"Вот сейчас Женя с Наташей уйдут
Буду одна тебя ждать!!!",POSITIVE,70.67
"Ладно, ради тебя я приду на работу",POSITIVE,86.47
Даже на больничном,NEGATIVE,75.16
Мой пенсионерский отпуск,NEGATIVE,75.16
"Посмотрите только, как он танцует!",NEUTRAL,82.75
браво! бис!,POSITIVE,96.95
,NEUTRAL,71.28
Коллеги по приветствуйте в нашем чате отщепенцев Наталью) она тоже познала всю боль нашей работы,POSITIVE,99.07
вот умора)) Приветствуем😅,POSITIVE,96.18
"В проекте клуб анонимных алкоголиков, а у нас - отщепенцы.",NEUTRAL,80.99
🤣,POSITIVE,59.17
"Может быть мы так доберемся и до добавления того, в честь кого она создана?",NEUTRAL,82.08
Ну подожди еще рано,NEUTRAL,82.89
"Остались Михаил, Михаил и всё",NEUTRAL,82.23
Они воцерковленные,NEUTRAL,82.67
))),NEUTRAL,73.34
Церковь свидетелей сами знаете кого?,NEUTRAL,83.02
Их ни одна святая вода не возьмет,NEGATIVE,75.15
Впотоке,NEUTRAL,72.28
"Я думала, что ей удалось их укусить 🤔🙈",POSITIVE,67.19
Это воздушно-капельным путём передается,NEUTRAL,82.97
Ну Мише пива разрешили выпить он теперь носит ее сумку и может даже будет ей кофе варить.,NEUTRAL,80.17
И тапки в зубах,NEUTRAL,82.93
Ох Оля будет рада,POSITIVE,92.67
А то к ней обращаются с просьбами принести воды,NEUTRAL,81.14
"Он итак уже хвостиком виляет, так что тут и до тапок недалеко.",NEUTRAL,72.7
,NEUTRAL,71.28
Отличная идея для магнитика,POSITIVE,70.09
"Я хотела спросить, а они не в одном номере жили?",NEGATIVE,75.16
"Я жил отдельно, больше ничего не могу сказать.",NEGATIVE,75.13
Но вечера они проводили вдвоем,NEUTRAL,82.81
По службе документы готовили,NEUTRAL,82.95
"Мне повезло, что с нами Наташа была. Я б в одного это безумие не выдержал.",POSITIVE,95.72
,NEUTRAL,71.28
жалею что не могу этого всего увидеть,NEGATIVE,75.15
"А я без тебя,Женя,повешушь",NEUTRAL,82.66
"Ну прекрати, а",NEUTRAL,81.44
"Ты спроси, может они тебя третьим позовут)))))",NEUTRAL,82.89
Я тебя благословила же на учительство,POSITIVE,66.64
"Хотя нет. Просто скажу все,что думаю",NEGATIVE,75.03
🤣,POSITIVE,59.17
"оу, полегче!))",POSITIVE,96.42
Они Мишу хотят,NEUTRAL,62.78
Третьего,NEUTRAL,59.52
Так в пятницу и заявили,NEUTRAL,82.7
Ну мы ее вкусы уже поняли,NEUTRAL,82.68
Что должен быть третий Миша,NEUTRAL,82.98
Михаилы зожники,NEGATIVE,75.15
"Ну,не знаю",NEUTRAL,82.86
"Погоди, я решил раз завтра надо на работу, то нет повода ждать до понедельника и можно ей завтра все сказать. Заодно Артуровичу и Владленовне написать",NEGATIVE,75.16
Вот это классная идея,NEUTRAL,82.73
Только Артурычу вообще пофиг на наши манускрипты,NEGATIVE,75.17
"Я не думаю что это как-то поможет, но мне очень жалко что крутой проект превращают в это.",NEGATIVE,75.17
Она завтра в любом случае разговор заведет,NEUTRAL,82.84
Что мы ущербные и не в потоке,NEGATIVE,75.15
Как она любит огрызаться при всех,NEUTRAL,82.05
"Пхахаха, а не надо было со мной общаться, может быть и тебя бы в секту приняли",NEUTRAL,68.53
аминь!,NEGATIVE,75.15
Она ж сразу меня брать не хотела,POSITIVE,65.48
Я ж не Миша) а Наташа…,NEUTRAL,82.72
Ну у тебя есть -ША,NEUTRAL,82.65
Зато пиво вкусное и прогулка классная,POSITIVE,97.49
Вчерашний бар был шикарен!,POSITIVE,98.04
А магнитики сделали?,NEUTRAL,82.95
-ЛЬЯ -ВНА!,NEUTRAL,82.74
,NEUTRAL,71.28
И слава Богу,NEGATIVE,75.16
"все здесь, думаю, хотят услышать, как вам запретили пить пиво)",POSITIVE,99.07
"Нас зачморили зато что мы не захотели с ними идти в зоопарк (в зоопарк мы хотели, но не с ними) так что магнитики нам не положены",NEUTRAL,75.32
"ужас, мне на секунду показалось, что это ГН пишет",NEGATIVE,75.15
"боже, что!!?",NEGATIVE,75.15
"А таксист думает,что я сумасшедшая. Так ржать,глядя в телефон,нельзя",NEGATIVE,75.15
Я смеялась до слез сегодня,POSITIVE,96.88
"Ну в первый вечер, заселились, вышли гулять на набережную. Идея была выпить пива, поужинать и посовещаться. 
Но в результате г-н два часа пиздела по телефону, потом заявила что пить пиво перед работой нельзя, потом вообще пошла драть в ком",NEGATIVE,75.15
драть в ком?,NEUTRAL,82.82
Жрать в кфс,NEUTRAL,82.86
Это одно и то же,NEUTRAL,60.05
Прекратите,NEGATIVE,75.16
Я не могу,NEUTRAL,81.91
🤣🤣,POSITIVE,59.17
Так теперь и мой таксист оглядывается,NEUTRAL,82.86
Мой уже не оглядывается,NEUTRAL,82.35
Боится,NEUTRAL,82.92
Ему просто страшно,NEGATIVE,75.16
Ему до Фрязино ехать,NEUTRAL,82.64
Муж оглядывается,NEUTRAL,82.55
А женщина в строгом костюме сидит смотрит в телефон и посмеивается,NEUTRAL,82.88
Аж сердце прихватило,POSITIVE,65.32
"Ржет,как конь",POSITIVE,62.42
"Наташ ты врач, сможешь оказать первую помощь",NEUTRAL,47.86
Себе? Вряд ли),NEUTRAL,82.92
Сегодня и вчера для меня первой и последней помощью было пиво,POSITIVE,91.74
"Мне при регистрации и туда и обратно место досталось в начале самолета. А не в хвосте, мне кажется она думает что я это специально подстроил.",NEGATIVE,75.15
Вот правда,NEUTRAL,82.75
"Я когда в туалет мимо нее в самолете проходил, она меня пыталась поджечь взглядом)",POSITIVE,99.07
Конечно. Буржуй!,NEUTRAL,80.98
Вот сама и регистрировала ь бы,NEUTRAL,82.91
Бизнес класс - лететь не рядом с ГН,NEUTRAL,82.87
Барыня хренова,NEGATIVE,75.15
"Если бы меня распределили бы рядом с ней, я бы следующим самолетом полетел",NEUTRAL,48.74
"4 часа про проект, про ресурс и про ее потоки - это через чур",NEUTRAL,82.77
Приходится дорого платить,NEUTRAL,82.16
"Неееет! Смотрел бы,как она с ногами в кресле сидит",NEGATIVE,75.16
"И Пропроект,пролюбофь,про…про…",NEUTRAL,82.95
"Ооооо, она так складываться умеет",NEUTRAL,82.63
А Михаил знает толк в извращениях,NEUTRAL,82.88
А то!,NEUTRAL,82.75
Компактная складная,NEUTRAL,82.8
Михаилы,NEGATIVE,75.16
🤣,POSITIVE,59.17
Мишки-шалунишки),NEUTRAL,80.33
"это же выдумка, правда?🫣",NEUTRAL,81.1
Нет,NEGATIVE,75.15
Я вот представляю как завтра Оля будет перечитывать все что мы сейчас написали. Кажется мы сделаем ее день лучше,NEGATIVE,75.15
,NEUTRAL,71.28
,NEUTRAL,71.28
Ну да как то так я себе это и представляю,NEGATIVE,75.16
"Не понимаю,как можно предпочитать в работе сотрудников по половому признаку.",NEGATIVE,75.15
Первый раз с таким сталкиваюсь,NEUTRAL,82.79
"Я думаю тут дело не в гендере, а в умении подлизываться",NEUTRAL,81.23
Ну не скажиии!,NEUTRAL,82.3
"Прям дейтерием писает,когда с мишами разговаривает",NEUTRAL,82.98
Дейтерием?!?! Тебе как эта аналогия в голову пришла????,NEGATIVE,75.15
Тяжелая вода),NEUTRAL,65.28
"Я в курсе, но…. Как?!?!?!",NEGATIVE,75.07
Просто девочка ботала в свое время),NEUTRAL,53.49
Правильная была),NEUTRAL,78.0
Я запишу,NEGATIVE,75.15
"Все кипятком, а она - дейтерием",NEUTRAL,82.97
"Правда,потом испортилась) как камамбер)))",POSITIVE,99.07
Люблю французские сыры,NEUTRAL,82.42
"погуглил, но не понял) видимо, надо знать про ваш дейтерий",POSITIVE,99.07
Вот это что игрушка?!?!,NEGATIVE,75.16
Блять. Сейчас увидел и меня снова бомбит,NEGATIVE,75.16
Это показушка,NEGATIVE,75.16
А слезу пускала?,NEGATIVE,75.15
Это в следующей серии,NEUTRAL,82.95
Продолжение следует,NEUTRAL,82.69
"До 25 года глядишь,усыновит кого",NEUTRAL,82.08
Мишу,NEUTRAL,79.32
Или Мишу,NEUTRAL,79.13
,NEUTRAL,71.28
Точно,NEUTRAL,82.47
Из новосибирского зоопарка,NEUTRAL,82.86
Вместо китайцев,NEUTRAL,56.04
Ее саму можно в зоопарке показывать,NEUTRAL,82.98
Мы сейчас проэкспертность,NEUTRAL,82.8
Она пустила слезу в разговоре со мной о маленьких детках в больницах,NEUTRAL,56.69
В кунсткамере,NEUTRAL,82.71
Детки,NEUTRAL,82.26
"Я и думаю, она правда верит в то, что несёт?",NEUTRAL,71.67
Нет,NEGATIVE,75.15
Вообще,NEUTRAL,77.87
"Мамки, детки, ляльки - тьфу бля",NEGATIVE,75.15
Нет,NEGATIVE,75.15
И врачишки ее такие же,POSITIVE,82.15
Сучки крашены,NEUTRAL,73.7
"Мы увидели треш, но писать ничего не  будем",NEGATIVE,75.15
Нужна политкорректность,NEUTRAL,82.82
"Новосибирск это пилот в пилоте, ты что!",NEUTRAL,82.85
"я вспомнил, как она на корпоративе (вас, Наталья и Женя, не было) стала представлять нашу команду перед Аппаратом и назвала каждого ""ребеночком"" этого проекта. Я сначала подумал, что не так услышал",POSITIVE,57.52
Прохерня полная,NEGATIVE,75.16
Хорошо что вас не стошнило,POSITIVE,58.99
Ребеночки. Шестой десяток разменяла и впала в детство,NEUTRAL,81.84
Хоть не выкидышем,NEGATIVE,75.15
"Мне кажется она слегка свихнувшаяся училка. Вот реально мы все ее детки, все ее очень любят и она всех учит, ставит оценки",POSITIVE,94.65
Слегка?!,NEUTRAL,82.69
😲,POSITIVE,59.17
"Слегка училка, я имел в виду",NEUTRAL,82.83
И пилотом погоняет,NEGATIVE,75.17
"Свальный грех, не иначе",NEUTRAL,82.75
"Чтобы вы еще понимали, как к нам относятся, ну и к ней… Мы на корпоративе сидели за одним столом с охраной МА!",NEUTRAL,71.13
Хоть не с водителями,NEUTRAL,82.34
Чо???,NEUTRAL,83.04
"да ладно, ну это мне кажется норм) какая разница",POSITIVE,98.14
Вот как-то так вышло,NEUTRAL,82.7
Вообще не норм,NEUTRAL,82.35
тебя это унизило?,NEGATIVE,75.15
А у МА еще и охранники есть?!?! А нафига они ей?,NEGATIVE,75.15
Она ж ценная,NEUTRAL,82.7
Я все пропустил,NEUTRAL,82.39
"Мы,говорит,были боковыми…",NEUTRAL,82.88
Ее же какой-то суд объявил виновной в похищениях детей,NEUTRAL,81.38
Вот охраняют,NEUTRAL,82.89
От детей?,NEUTRAL,82.58
"Не унизило, но это странно - почему все с коллегами, друг с другом? А те ребята вроде не в штате",NEGATIVE,75.15
Мы как отщепенцы,NEUTRAL,82.57
"ну мы все там уместились, а других свободных не было столов + мы пришли последние",NEUTRAL,78.63
Ой всё,NEGATIVE,75.15
Ну хоть не с водителями,NEUTRAL,82.94
"Да, там были молодые симпатичные парни",POSITIVE,97.13
Мы с Олей в целом были довольны,POSITIVE,93.39
Как? Да у нас уже группа отщепенцев,NEUTRAL,82.93
😝,POSITIVE,59.17
"Все лучше,чем с такими вампирами сидеть",NEGATIVE,75.16
Руководители проектов сидели с МА вместе. А Галина нет,NEUTRAL,82.95
А может ей бонусом молодых красивых охранников подогнали?,NEUTRAL,82.4
"Ладно, спишем, как сказал Игорь, на то, что мы приезжали позже остальных",NEUTRAL,69.8
Проект 18+,NEUTRAL,82.56
Я разочарована в поездке и в команде врачей,NEGATIVE,75.15
Ничего полезного не получается,NEUTRAL,82.81
"Представьте, придется с ней лететь во Владик",NEUTRAL,77.4
9 часов,NEUTRAL,39.67
2 по 0-75,NEUTRAL,69.26
"Спасибо, но нет!",POSITIVE,89.33
60+,NEGATIVE,75.15
Так все же увольняются,NEGATIVE,75.16
Должно еще сильнее захотется сделать это)),POSITIVE,98.08
Я не буду писать заявление на прием,NEGATIVE,45.73
а как там Влад!?,NEUTRAL,78.6
На увольнение уже написано,NEGATIVE,75.16
ЛюбИм),NEUTRAL,82.45
"Он такой тихий, его не видно вообще",NEGATIVE,75.16
"Я когда была услышала от него только 2 слова: привет, пока. Сидит тихо",NEGATIVE,75.15
"По-моему,он тихонечко наблюдает за всем этим Содомом и тоже намыливается",NEUTRAL,81.48
ну и пусть не высовывается - авось злая колдунья не заметит и пройдет мимо,NEUTRAL,81.56
Уйти подальше,NEGATIVE,75.16
Притворяется мертвым,NEUTRAL,82.97
А ГН любит активных и драйвовых,NEUTRAL,82.98
Гиперактивных,NEUTRAL,82.99
С сдвг,NEUTRAL,82.25
"Осторожно,двери закрываются. Следующая станция: Белорусская…",NEUTRAL,81.62
Да конечно)))₽,NEUTRAL,79.88
Там уже в календаре 2 совещания и 1 вкс запланированы,NEUTRAL,82.7
Пиздец,NEGATIVE,75.16
"Интересно,она с новосибирского времени перевела часы?",NEUTRAL,80.34
Но зато погода радует))),POSITIVE,98.11
Или уже опоздали на все,NEUTRAL,77.84
Совещания по удаленке еще не изобрели?),POSITIVE,64.03
Даааа),NEUTRAL,82.48
"Женя, она тебе лично ничего не сказала?",NEGATIVE,75.15
Для нее надо глазавглаза,NEUTRAL,82.99
Просто проигнорировала,NEUTRAL,82.87
Она сейчас скажет всем,NEUTRAL,82.57
Ничего.,NEGATIVE,75.15
Я ее опережу),NEUTRAL,82.92
Прекрасно,POSITIVE,95.68
У меня так племянник маленький делает,NEGATIVE,75.16
Отдохнули в самолете и дома,NEGATIVE,75.17
Вперед!,NEUTRAL,82.35
Продвигаемся в проекте,NEUTRAL,82.92
"О, Оля пишет)",NEUTRAL,82.92
Да сколько можно печатать,NEGATIVE,75.16
"Ниче се, какие тут новости, я много пропустила😂
Вот прочитала все и вообще туда в пн не хочу",POSITIVE,95.94
Ахахаххахахаха,POSITIVE,97.58
"Эй, ты что не соскучилась по мне?!?!",POSITIVE,56.58
И это всё?),NEUTRAL,82.67
"Да соскучилась конечно
Но ты уходишь и как мы будем тут?",POSITIVE,60.01
Будешь такое писать не принесу тебе шоколадку!,NEGATIVE,75.15
Анастасия тоже неизвестно когда выйдет,NEUTRAL,82.54
Ну мы в след пятницу увидимся,NEUTRAL,82.7
Если ГН не скажет в 4 вечера: «давайте посовещаемся 5 часов»,NEUTRAL,79.63
Ну в первую очередь я предложил бы тебе сменить имя на «Миша» это точно поможет,NEUTRAL,68.72
Я почему-то сейчас вспомнила Ильфа и Петрова «союз меча и орала»,NEUTRAL,81.1
Это не поможет !!!,NEGATIVE,75.1
"Мда, я тут еще в кровати конечно лежу, а вы уже на работу едите 😂",NEGATIVE,75.12
А я еще завтракаю,NEGATIVE,75.16
"Но в пн меня ждет такая же участь, так что держитесь",NEUTRAL,81.28
"Ну я еле живой. У меня ощущение что неделя слилась в один долгий долгий день, который никак не закончится",NEGATIVE,75.15
"Нет, а вот она проигнорила вопрос с удаленкой
А молчание, знак согласия, так что Жень, она разрешила!",NEGATIVE,75.15
День с ГН 🥰,POSITIVE,64.74
"О да, это добавляет ему особой перчинки и запаха нафталина",NEUTRAL,73.33
"О, это знаменитое игнорирование",NEUTRAL,82.96
Дада,NEUTRAL,81.72
"Вот казалось бы… напиши нет, работаем из офиса. Это же элементарная вежливость и деловой этикет.",NEUTRAL,81.41
У нее в голове это как-то все наоборот🤷‍♂️,NEUTRAL,47.06
Проект головы?,NEUTRAL,82.94
Она ра работе все выскажет как обычно,NEUTRAL,82.68
Сейчас придет с недовольным лицом,NEUTRAL,55.2
"Как тогда, когда сотрудники ушли в 18:50,  а она была в совещательной!!! И оказывается уходить с работы пока она не выйдет никому нельзя!!",NEGATIVE,75.15
"Да, нечего дисциплину своими удаленками разлагать",NEUTRAL,82.8
Вот вот,NEUTRAL,82.48
Она так контролить не сможет,NEUTRAL,82.52
"«День с ГН», Репин",NEUTRAL,82.88
Проект головного мозга🤪,NEUTRAL,78.7
Табличка «зоопарк» в офисе была бы вполне уместна. А еще видео трансляция из мира диких животных.,NEUTRAL,81.84
банка с пауками и одной склопендрой,NEGATIVE,74.94
я уже на рнаботе,NEUTRAL,70.81
Цирк шапито,NEGATIVE,75.17
"я так хорошо жила без планов работ на день, опять задолбит этим",NEGATIVE,75.17
Все таки по регионам катаемся,NEUTRAL,82.99
"Наташ, ты отверженная женщина!",NEUTRAL,78.19
отщепенец,NEGATIVE,75.16
С корабля на бал прям,NEGATIVE,75.05
она так вчера сказала,NEUTRAL,82.93
хоть не падшая) уже хорошо),POSITIVE,97.63
